iter	MultiClass
0	1.774675726
1	1.643427744
2	1.537266641
3	1.447733814
4	1.371618301
5	1.305305801
6	1.246156262
7	1.193375059
8	1.144905526
9	1.101388182
10	1.061536957
11	1.025340648
12	0.9924452562
13	0.9613966391
14	0.9330559119
15	0.9060919191
16	0.8812939688
17	0.8582231392
18	0.8369181335
19	0.8159279295
20	0.7970540773
21	0.7784752499
22	0.7606483738
23	0.7443096639
24	0.7289311665
25	0.7142281352
26	0.7002045396
27	0.6872450034
28	0.6753675315
29	0.6639313915
30	0.6526727484
31	0.6421642136
32	0.6319412049
33	0.6228828418
34	0.6140781773
35	0.6057209408
36	0.5978278614
37	0.5902698923
38	0.5828951262
39	0.5760457976
40	0.5694058996
41	0.5637368113
42	0.557839118
43	0.5515787754
44	0.5462795313
45	0.5408755895
46	0.5357066681
47	0.5309605066
48	0.5262414588
49	0.5218908019
50	0.5174986771
51	0.513417668
52	0.5093690179
53	0.5059283867
54	0.5022522036
55	0.4991096096
56	0.4964880227
57	0.4932937533
58	0.4900195608
59	0.4870440081
60	0.4845005722
61	0.4819998802
62	0.4798245872
63	0.4769767344
64	0.4745544415
65	0.4718674629
66	0.4699551544
67	0.467296778
68	0.4646941884
69	0.4624321317
70	0.4602137759
71	0.458231291
72	0.4562631957
73	0.4542829791
74	0.4524997173
75	0.4506452867
76	0.4492758179
77	0.4477892112
78	0.446561513
79	0.4448824172
80	0.44379571
81	0.4425136073
82	0.4406557033
83	0.4391723573
84	0.4378246857
85	0.4364393387
86	0.4348002222
87	0.4336567003
88	0.4322930796
89	0.4312564173
90	0.4298108177
91	0.4289420119
92	0.4276257071
93	0.4265062863
94	0.4255338107
95	0.424388942
96	0.4234294385
97	0.4221655888
98	0.4208437195
99	0.4195871356
100	0.4189384287
101	0.4180454864
102	0.4166568431
103	0.4156024241
104	0.4148001442
105	0.4139262701
106	0.4129768676
107	0.4117613618
108	0.410886956
109	0.4098533418
110	0.4090734971
111	0.4084466937
112	0.4072411827
113	0.4062875626
114	0.4055354694
115	0.4047556955
116	0.404064422
117	0.4032695495
118	0.4021727411
119	0.4015683021
120	0.4007305795
121	0.3999251097
122	0.398978011
123	0.3982260596
124	0.3974030812
125	0.3965022706
126	0.3955424126
127	0.3947596261
128	0.3939551133
129	0.3930763835
130	0.3924140666
131	0.3915000005
132	0.3909833884
133	0.3904269387
134	0.3897725964
135	0.3892118581
136	0.3883703077
137	0.3874957247
138	0.3867560365
139	0.3859120405
140	0.3853178799
141	0.3845025925
142	0.383856083
143	0.38328216
144	0.3826476302
145	0.3818639222
146	0.3811397578
147	0.3804674461
148	0.3799924082
149	0.3793580201
150	0.3785617299
151	0.3781269194
152	0.3774241979
153	0.3768377283
154	0.3761238423
155	0.3756126174
156	0.3749200325
157	0.3745844969
158	0.3741617369
159	0.37379207
160	0.3731873828
161	0.3725487771
162	0.3719088599
163	0.3713325978
164	0.3706906958
165	0.3698886285
166	0.3693684367
167	0.3688674902
168	0.368458163
169	0.3678114408
170	0.36729614
171	0.3668267021
172	0.3665049182
173	0.3659195827
174	0.3653929403
175	0.3649224391
176	0.3645245244
177	0.3639460648
178	0.3634343792
179	0.3630980284
180	0.3626708735
181	0.3621470665
182	0.3613925987
183	0.3606841354
184	0.3602187733
185	0.3596854323
186	0.3592179082
187	0.3585738797
188	0.3579110666
189	0.35743734
190	0.3571395863
191	0.3566271564
192	0.3562792867
193	0.3558186385
194	0.355166919
195	0.3545971428
196	0.3541645298
197	0.3538252372
198	0.3535207494
199	0.3530211851
200	0.3527398768
201	0.3518220538
202	0.351341026
203	0.3509328684
204	0.3506145579
205	0.350161459
206	0.3498066071
207	0.3494245353
208	0.3491840923
209	0.3487568311
210	0.3483109271
211	0.3479106377
212	0.3474662223
213	0.3467604527
214	0.3463729935
215	0.3462620935
216	0.3457832986
217	0.3454326999
218	0.3450115703
219	0.344651721
220	0.3440791094
221	0.3436203042
222	0.3430999352
223	0.3426853979
224	0.3421803046
225	0.3418470727
226	0.341458444
227	0.3410581901
228	0.3405813446
229	0.3401309039
230	0.3398309527
231	0.3393868917
232	0.339089386
233	0.3387004383
234	0.3381767022
235	0.3380099445
236	0.33770372
237	0.3372639829
238	0.3368908426
239	0.3364401184
240	0.3362072247
241	0.3357541967
242	0.3356354638
243	0.3352653716
244	0.3347510277
245	0.3343755128
246	0.3340415012
247	0.3338194175
248	0.3333139344
249	0.3329560344
250	0.3325497907
251	0.3321146258
252	0.3317705839
253	0.3313340013
254	0.330776382
255	0.3304206086
256	0.3299410341
257	0.3292829348
258	0.3289546295
259	0.328620228
260	0.3284527261
261	0.3280203257
262	0.3276299957
263	0.3273524797
264	0.3270075163
265	0.326593936
266	0.3261960567
267	0.3259409759
268	0.3255769444
269	0.3251662349
270	0.3248644407
271	0.3245596339
272	0.3242021238
273	0.323833024
274	0.3230917054
275	0.3227916479
276	0.3226136549
277	0.3222132237
278	0.321985292
279	0.3215579245
280	0.3213252789
281	0.3210330187
282	0.3205692161
283	0.320157656
284	0.3197177418
285	0.3195011872
286	0.319103237
287	0.3186653076
288	0.3182775649
289	0.3180651571
290	0.3176203517
291	0.3172830085
292	0.3170400137
293	0.3166790657
294	0.3161947418
295	0.3159268308
296	0.3155529816
297	0.3151719376
298	0.3148698599
299	0.3144192065
300	0.3141705408
301	0.3139814897
302	0.3136426934
303	0.3133029755
304	0.3130689831
305	0.3127378778
306	0.3122849916
307	0.311937689
308	0.3116161178
309	0.3113865202
310	0.3109951624
311	0.3107344108
312	0.3104729149
313	0.3101038151
314	0.3098003196
315	0.3095441401
316	0.3092455003
317	0.3090092041
318	0.3086722862
319	0.30826264
320	0.3079902278
321	0.3077854401
322	0.3076056395
323	0.3073008327
324	0.306869212
325	0.3065603292
326	0.3062306062
327	0.3058547014
328	0.305616066
329	0.3053662307
330	0.3050435962
331	0.304832677
332	0.3045315916
333	0.3042469162
334	0.3038692038
335	0.3035899866
336	0.303272952
337	0.3030131219
338	0.3026914798
339	0.3023806832
340	0.3021058963
341	0.3017985376
342	0.3015297405
343	0.3012843001
344	0.3009985614
345	0.3006729497
346	0.30040114
347	0.3001084191
348	0.2998304069
349	0.2996058068
350	0.299348564
351	0.2989731908
352	0.2986384349
353	0.2983502861
354	0.2981942676
355	0.297879714
356	0.2975457379
357	0.2972096174
358	0.2969883844
359	0.2967397187
360	0.2965259463
361	0.2962360254
362	0.2959208516
363	0.2956421128
364	0.2953612475
365	0.2952016847
366	0.2949143865
367	0.294679827
368	0.2943842884
369	0.294151501
370	0.2938786103
371	0.2936338965
372	0.2932993356
373	0.2930950795
374	0.2927326784
375	0.2924593446
376	0.2921611301
377	0.2919242846
378	0.2917783671
379	0.2914953753
380	0.2912036468
381	0.290949647
382	0.2907169128
383	0.290394172
384	0.2900641654
385	0.2898169883
386	0.2895200143
387	0.2894298659
388	0.2891777623
389	0.2888728668
390	0.2885779485
391	0.2883596926
392	0.2882113828
393	0.2880020231
394	0.2877908203
395	0.2874611504
396	0.2871336071
397	0.2868438988
398	0.2866229139
399	0.2863399929
400	0.2860756793
401	0.2858956129
