iter	RMSE
0	8.622355342
1	8.22177222622	7.89000292833	7.15659101644	6.87577145555	6.54882698266	6.29609744677	6.06643720488	5.81770833899	5.59755278
10	5.395017634
11	5.219888035
12	5.061878611
13	4.912678055
14	4.78706909
15	4.665653639
16	4.542378888
17	4.433706097
18	4.338848315
19	4.271707725
20	4.189186499
21	4.112416493
22	4.028971311
23	3.951517147
24	3.890054211
25	3.827571185
26	3.765726047
27	3.711713613
228	3.87542171
29	3.798526712
30	3.75287611
31	3.697318657
332	3.45947747633	3.532624183
334	3.376901263335	3.334989773336	3.299108593737	3.268341213838	3.239025214
39	3.195588856
40	3.160260779
41	3.128038412
42	3.101265078
43	3.069749857
44	3.045822457
45	3.021572515
46	2.991908515
47	2.948721117
48	2.923814421
49	2.886821988
50	2.858691678
51	2.833412152	52	2.802050453	53	2.780475154	54	2.757531855	55	2.73732656	256	2.70799257	257	2.6903558	2.58	2.6739559	2.722369671660	2.60	2.6359561	2.61	2.615462	2.662	2.6018663	2.660349018664	2.64	2.5610665	2.627986582666	2.604733197
67	2.587269808
68	2.571804409
69	2.556120591
70	2.545159665
71	2.532633418
72	2.524745839
73	2.51589357
74	2.505647557
75	2.500277692
76	2.489223309
77	2.480549383
78	2.473631914
79	2.468284718
80	2.45670325
81	2.432746234
82	2.407909279
83	2.404262218
84	2.392434724
85	2.388998827
86	2.385103613
87	2.371269325
88	2.36687368
89	2.358594188
90	2.355651797
91	2.346746708
92	2.338763
93	2.335502699
94	2.331154801
95	2.32634125
96	2.307672947
97	2.298883352
98	2.29605111
99	2.287550094
9
11393537
