iter	Passed	Remaining
0	134	13324
1	136	6678
2	137	4450
3	137	3298
4	138	2640
5	140	2202
6	141	1883
7	143	1648
8	144	1465
9	146	1315
10	148	1198
11	149	1096
12	150	1010
13	152	937
14	154	873
15	155	815
16	156	763
17	157	719
18	159	678
19	160	640
20	161	607
21	163	579
22	164	549
23	165	524
24	166	500
25	168	479
26	170	460
27	172	442
28	176	431
29	177	414
30	179	400
31	180	384
32	181	369
33	183	355
34	184	342
35	185	330
36	186	318
37	188	307
38	190	298
39	192	288
40	193	278
41	194	269
42	196	260
43	198	252
44	200	244
45	201	236
46	203	229
47	204	221
48	205	213
49	206	206
50	207	199
51	208	192
52	210	186
53	211	179
54	212	173
55	213	167
56	214	161
57	216	156
58	219	152
59	220	147
60	220	140
61	223	136
62	222	130
63	223	125
64	224	121
65	228	117
66	229	112
67	230	108
68	231	104
69	232	99
70	233	95
71	235	91
72	236	87
73	237	83
74	238	79
75	239	75
76	240	71
77	242	68
78	243	64
79	244	61
80	245	57
81	246	54
82	247	50
83	249	47
84	250	44
85	252	41
86	253	37
87	254	34
88	255	31
89	256	28
90	258	25
91	259	22
92	260	19
93	261	16
94	262	13
95	263	10
96	264	8
97	265	5
98	266	2
99	267	0
