antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Additive:BYK-333', 'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Resin:Acrylic_A', 'Pigment:TiO2'})",0.14,0.475,0.14,1.0,2.1052631578947367,1.0,0.07350000000000001,inf,0.6104651162790699,0.2947368421052632,1.0,0.6473684210526316
"frozenset({'Additive:BYK-333', 'Thickener:HEUR', 'Solvent:Toluene'})","frozenset({'Resin:Acrylic_A', 'Pigment:TiO2'})",0.11,0.475,0.11,1.0,2.1052631578947367,1.0,0.05775,inf,0.5898876404494382,0.23157894736842105,1.0,0.6157894736842106
"frozenset({'Additive:BYK-333', 'Thickener:Xanthan', 'Surfactant:Tego270', 'Solvent:Toluene'})","frozenset({'Resin:Acrylic_A', 'Pigment:TiO2'})",0.135,0.475,0.135,1.0,2.1052631578947367,1.0,0.07087500000000001,inf,0.6069364161849712,0.2842105263157895,1.0,0.6421052631578947
"frozenset({'Thickener:HEUR', 'Resin:Acrylic_A', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Pigment:TiO2'})",0.11,0.485,0.11,1.0,2.061855670103093,1.0,0.05665,inf,0.5786516853932584,0.2268041237113402,1.0,0.6134020618556701
"frozenset({'Thickener:HEUR', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Additive:BYK-333'}),0.11,0.53,0.11,1.0,1.8867924528301885,1.0,0.051699999999999996,inf,0.5280898876404494,0.20754716981132074,1.0,0.6037735849056604
"frozenset({'Pigment:TiO2', 'Thickener:HEUR', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Additive:BYK-333'}),0.11,0.53,0.11,1.0,1.8867924528301885,1.0,0.051699999999999996,inf,0.5280898876404494,0.20754716981132074,1.0,0.6037735849056604
"frozenset({'Additive:BYK-333', 'Thickener:Xanthan', 'Solvent:Toluene'})",frozenset({'Resin:Acrylic_A'}),0.14,0.545,0.14,1.0,1.8348623853211008,1.0,0.0637,inf,0.5290697674418605,0.25688073394495414,1.0,0.6284403669724771
"frozenset({'Additive:BYK-333', 'Thickener:HEUR', 'Solvent:Toluene'})",frozenset({'Resin:Acrylic_A'}),0.11,0.545,0.11,1.0,1.8348623853211008,1.0,0.05005,inf,0.5112359550561797,0.20183486238532108,1.0,0.6009174311926605
"frozenset({'Additive:BYK-333', 'Pigment:TiO2', 'Thickener:Xanthan', 'Solvent:Toluene'})",frozenset({'Resin:Acrylic_A'}),0.14,0.545,0.14,1.0,1.8348623853211008,1.0,0.0637,inf,0.5290697674418605,0.25688073394495414,1.0,0.6284403669724771
"frozenset({'Additive:BYK-333', 'Thickener:Xanthan', 'Surfactant:Tego270', 'Solvent:Toluene'})",frozenset({'Resin:Acrylic_A'}),0.135,0.545,0.135,1.0,1.8348623853211008,1.0,0.061424999999999993,inf,0.5260115606936415,0.2477064220183486,1.0,0.6238532110091743
"frozenset({'Additive:BYK-333', 'Thickener:HEUR', 'Pigment:TiO2', 'Solvent:Toluene'})",frozenset({'Resin:Acrylic_A'}),0.11,0.545,0.11,1.0,1.8348623853211008,1.0,0.05005,inf,0.5112359550561797,0.20183486238532108,1.0,0.6009174311926605
"frozenset({'Additive:BYK-333', 'Solvent:Toluene', 'Thickener:Xanthan', 'Surfactant:Tego270', 'Pigment:TiO2'})",frozenset({'Resin:Acrylic_A'}),0.135,0.545,0.135,1.0,1.8348623853211008,1.0,0.061424999999999993,inf,0.5260115606936415,0.2477064220183486,1.0,0.6238532110091743
frozenset({'Solvent:Toluene'}),frozenset({'Pigment:TiO2'}),0.61,0.715,0.61,1.0,1.3986013986013988,1.0,0.17385,inf,0.7307692307692308,0.8531468531468531,1.0,0.9265734265734266
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.155,0.715,0.155,1.0,1.3986013986013988,1.0,0.044175000000000006,inf,0.33727810650887574,0.2167832167832168,1.0,0.6083916083916084
